Територіальний розріз,Тип товарів і послуг,Періодичність,Одиниця виміру,Кількість десяткових знаків,2017-M01,2017-M02,2017-M03,2017-M04,2017-M05,2017-M06,2017-M07,2017-M08,2017-M09,2017-M10,2017-M11,2017-M12,2018-M01,2018-M02,2018-M03,2018-M04,2018-M05,2018-M06,2018-M07,2018-M08,2018-M09,2018-M10,2018-M11,2018-M12,2019-M01,2019-M02,2019-M03,2019-M04,2019-M05,2019-M06,2019-M07,2019-M08,2019-M09,2019-M10,2019-M11,2019-M12,2020-M01,2020-M02,2020-M03,2020-M04,2020-M05,2020-M06,2020-M07,2020-M08,2020-M09,2020-M10,2020-M11,2020-M12,2021-M01,2021-M02,2021-M03,2021-M04,2021-M05,2021-M06,2021-M07,2021-M08,2021-M09,2021-M10,2021-M11,2021-M12,2022-M01,2022-M02,2022-M03,2022-M04,2022-M05,2022-M06,2022-M07,2022-M08,2022-M09,2022-M10,2022-M11,2022-M12,2023-M01,2023-M02,2023-M03,2023-M04,2023-M05,2023-M06,2023-M07,2023-M08,2023-M09,2023-M10,2023-M11,2023-M12,2024-M01,2024-M02,2024-M03,2024-M04,2024-M05,2024-M06,2024-M07,2024-M08,2024-M09,2024-M10,2024-M11,2024-M12,2025-M01,2025-M02,2025-M03,2025-M04,2025-M05,2025-M06,2025-M07,2025-M08,2025-M09,2025-M10,2025-M11,2025-M12,2026-M01
Вінницька,Риба морожена,Місячна,Кілограм,Два,"70,38","71,25","71,65","71,62","71,79","71,87","73,01","71,40","71,42","71,32","70,48","70,42","67,08","66,05","67,00","69,30","70,60","70,41","71,14","71,71","72,71","74,09","74,15","74,09","75,28","75,77","76,06","77,09","75,55","77,67","78,20","78,65","79,77","79,12","81,28","81,40","78,24","77,37","77,68","77,68","79,01","79,05","78,39","77,84","79,89","80,10","79,23","78,15","78,17","78,58","80,27","83,33","82,12","82,49","83,34","82,67","82,49","84,28","85,95","86,40","114,22","114,16","119,12","128,12","129,58","133,31","131,38","138,56","141,59","154,50","156,43","160,91","166,16","166,96","167,03","169,12","170,00","170,15","171,44","173,13","172,54","172,98","173,59","172,28","169,61","168,67","169,55","170,59","169,28","171,55","173,82","174,67","174,59","179,30","181,25","184,56","183,48","187,34","188,33","190,92","193,71","201,76","202,53","203,39","208,96","211,31","214,37","214,70","224,69"
Вінницька,Крупи манні,Місячна,Кілограм,Два,"10,45","10,64","10,94","10,98","10,96","11,03","11,20","11,21","11,22","11,30","11,35","12,04","11,58","11,54","11,49","11,55","11,63","11,75","11,76","11,92","12,28","12,50","13,19","13,45","13,48","13,55","13,64","13,62","13,72","13,99","13,87","13,75","13,67","13,63","13,67","13,51","12,54","12,28","12,51","12,39","12,81","12,83","12,56","12,91","13,12","13,40","13,59","13,78","15,42","16,13","16,33","16,55","16,49","16,44","16,70","16,62","16,75","16,69","16,67","17,44","17,74","18,16","18,38","21,12","21,91","22,53","23,00","23,19","22,32","22,02","22,23","21,39","21,44","20,95","21,02","21,39","21,00","20,66","20,33","20,33","20,37","20,63","20,17","20,06","20,00","20,51","20,60","20,66","20,66","20,78","20,84","21,16","21,92","23,06","24,40","25,13","25,04","25,26","25,26","25,38","27,00","28,96","28,96","29,16","29,41","29,12","29,06","28,56","29,09"
Вінницька,Ковбаси варені першого ґатунку,Місячна,Кілограм,Два,"70,69","67,94","69,32","69,19","70,11","73,25","75,07","75,17","75,62","75,69","77,56","85,10","75,01","76,68","82,12","82,74","82,55","82,64","82,90","82,98","85,11","85,28","86,25","86,82","90,06","90,10","90,63","94,24","94,52","95,35","95,47","94,72","95,61","95,72","96,15","96,28","93,74","93,31","93,26","93,26","94,47","94,19","93,67","95,95","95,95","96,44","97,50","101,08","101,14","102,61","100,31","104,46","112,83","112,40","109,23","109,79","110,60","112,94","115,11","117,28","135,72","134,89","136,01","142,00","142,63","144,83","146,60","149,81","152,38","156,21","164,33","168,53","171,63","174,43","176,29","179,45","179,87","182,51","185,96","184,74","184,74","184,60","183,47","183,71","185,37","187,23","189,51","187,97","190,33","190,33","191,95","191,95","190,25","191,67","196,75","196,75","214,51","215,38","217,67","219,31","221,75","226,86","221,79","223,41","223,94","234,59","239,49","239,49","246,93"
Вінницька,Рис,Місячна,Кілограм,Два,"20,13","20,29","20,33","20,42","20,56","20,80","21,52","21,94","22,16","23,34","23,58","23,44","22,99","22,92","22,94","23,25","23,12","22,59","22,92","23,05","23,31","23,51","23,66","23,80","23,25","23,39","23,52","23,09","22,63","22,57","22,50","23,30","23,30","23,32","23,32","22,79","22,18","22,18","22,42","22,96","21,23","21,07","20,84","21,18","21,41","20,40","21,03","20,75","22,02","22,72","23,16","23,79","24,43","24,65","24,57","24,82","24,78","24,75","25,43","26,17","28,26","28,94","33,71","40,23","45,14","48,70","52,33","54,24","54,79","54,99","56,32","57,20","58,20","56,27","55,75","54,78","54,45","52,87","52,87","52,59","51,26","50,88","48,94","48,94","49,08","48,20","48,71","48,92","49,20","49,44","51,27","51,27","52,32","52,23","52,60","52,79","54,33","54,73","54,73","54,41","51,43","51,58","53,15","53,73","53,32","51,67","51,57","51,55","49,51"
Вінницька,Свинина,Місячна,Кілограм,Два,"78,70","81,38","82,52","85,03","93,10","103,34","108,57","111,94","114,70","114,03","111,32","113,65","109,55","108,48","110,85","116,32","115,16","114,33","114,31","114,01","114,90","117,27","117,45","116,59","114,58","111,79","111,58","112,84","115,08","117,44","117,08","117,51","119,40","119,72","119,29","119,32","118,65","117,88","119,71","120,47","120,75","119,46","116,93","115,10","117,46","117,55","114,98","113,40","115,14","113,33","115,91","115,97","117,49","116,32","116,94","115,78","119,42","120,77","118,77","119,36","127,93","126,30","126,67","128,07","129,40","136,15","141,35","147,42","157,68","171,78","169,22","169,43","170,60","169,39","168,59","180,13","181,95","185,10","187,68","189,35","192,16","192,85","186,21","182,51","177,00","167,88","165,91","164,18","163,08","160,69","161,16","168,43","168,57","168,44","169,19","174,15","176,71","174,40","175,15","195,84","210,22","224,24","232,83","241,70","249,75","247,54","236,36","226,93","220,69"
Вінницька,Хліб пшеничний з борошна першого ґатунку,Місячна,Кілограм,Два,"11,59","11,80","11,99","12,30","12,47","12,56","12,75","12,80","13,08","13,50","13,72","14,43","14,45","14,46","14,72","15,20","15,24","15,31","15,27","15,58","16,21","16,71","17,00","17,34","17,56","17,93","18,30","18,74","18,94","18,98","18,97","19,30","19,48","19,54","19,62","19,62","19,88","20,00","20,07","20,35","20,57","20,73","20,73","20,83","20,83","20,89","21,10","21,29","21,72","21,94","22,52","22,70","22,80","23,19","23,43","23,50","23,72","23,76","24,28","24,78","28,54","28,82","30,00","30,92","31,64","32,13","32,13","32,46","32,70","33,10","33,10","33,92","35,88","36,50","36,68","37,09","37,27","37,27","37,48","37,48","37,65","37,85","38,33","38,99","39,00","39,43","39,43","39,05","39,35","40,75","41,90","43,11","43,97","43,97","44,89","47,00","48,58","49,01","49,37","49,68","49,68","50,02","50,79","51,17","51,17","51,36","52,49","53,16","53,94"
Вінницька,Макаронні вироби з м’яких сортів пшениці,Місячна,Кілограм,Два,"13,84","14,07","14,08","14,15","14,31","14,02","14,33","14,24","14,30","14,49","15,00","14,88","13,91","13,91","14,07","14,64","14,78","14,87","15,00","15,10","15,68","16,11","16,49","16,53","16,59","17,14","17,62","17,75","18,09","18,09","18,28","18,40","18,41","18,49","18,28","18,19","18,55","18,55","18,70","18,94","18,75","18,84","18,52","18,58","18,80","18,86","18,95","19,27","19,92","20,17","20,59","20,89","21,29","21,52","21,63","21,56","21,24","21,24","21,47","22,11","22,62","23,27","24,45","26,51","27,37","29,90","30,72","30,20","30,36","30,83","31,04","31,27","31,52","31,48","31,88","31,64","31,34","31,29","31,40","31,00","30,69","30,57","30,50","30,69","30,10","30,57","30,51","30,72","31,05","31,43","32,42","33,00","33,10","33,20","33,17","33,45","33,62","33,83","34,28","34,28","34,61","35,01","34,59","35,40","35,90","35,49","35,33","35,61","37,20"
Вінницька,Пшоно,Місячна,Кілограм,Два,"8,27","8,57","8,73","8,80","8,81","8,95","9,13","9,15","9,18","11,03","12,88","14,34","15,42","15,99","16,18","16,52","16,86","17,21","17,34","18,10","19,74","20,65","22,25","23,67","23,90","24,70","27,11","31,31","32,12","32,45","33,63","33,65","28,57","26,58","25,96","23,68","21,40","21,37","20,27","19,01","19,19","18,64","18,11","16,34","16,28","14,99","16,27","16,56","16,75","17,35","17,81","17,27","16,52","15,78","15,86","15,72","16,15","16,58","16,78","17,55","17,78","18,52","19,91","22,41","23,65","24,95","27,36","26,49","25,70","24,77","24,62","25,30","24,41","25,20","25,93","27,33","26,97","26,95","26,88","27,38","27,33","26,85","22,86","23,13","23,52","23,48","22,77","22,43","22,98","23,36","23,32","23,83","24,09","24,22","24,03","23,90","24,10","23,86","24,05","23,75","23,86","23,76","24,67","23,81","25,36","26,16","27,99","32,21","34,80"
Вінницька,Сири м’які жирні,Місячна,Кілограм,Два,"72,28","75,00","75,15","75,67","77,30","75,74","75,06","79,46","80,58","83,36","85,86","88,89","83,72","85,12","84,86","85,32","83,10","81,36","82,40","81,66","83,01","84,71","85,37","86,46","89,90","91,94","92,12","90,67","90,09","91,29","94,16","93,74","95,41","96,33","97,89","99,15","99,78","99,98","98,18","99,92","102,39","101,99","101,73","99,60","99,46","101,18","102,57","102,57","113,09","116,92","118,66","118,47","116,46","116,35","114,25","115,24","114,17","116,22","118,63","120,38","139,72","141,07","143,88","146,43","148,17","148,57","147,63","152,07","156,06","156,66","157,66","159,66","169,35","168,54","169,98","172,33","168,92","168,44","167,82","164,15","167,69","173,76","179,73","181,29","183,67","187,79","188,08","188,98","191,78","191,65","190,86","193,97","195,64","203,12","208,91","222,28","229,02","228,95","232,07","234,14","232,70","232,23","231,32","235,10","235,10","241,18","247,87","249,19","254,52"
Вінницька,"Молоко пастеризоване жирністю до 2,6% включно",Місячна,1000 г,Два,"18,82","19,94","20,27","20,66","20,75","20,92","20,98","20,92","21,11","21,73","22,45","24,02","20,97","20,67","21,13","21,13","21,66","21,30","21,58","21,57","22,45","23,03","23,20","23,74","24,13","24,06","23,89","23,87","24,22","24,62","24,53","24,40","24,71","24,93","25,53","25,58","25,48","25,28","25,15","24,67","24,00","24,01","23,48","23,55","23,67","24,05","24,19","25,63","27,08","27,05","26,58","27,13","28,25","26,88","26,48","26,49","26,80","27,20","28,11","28,58","29,26","29,32","29,50","31,18","31,55","32,46","32,24","32,89","32,90","32,94","33,57","34,11","34,76","34,60","35,06","35,19","35,44","35,44","35,71","35,67","36,01","35,82","36,07","37,05","38,99","38,53","38,93","39,48","39,61","38,31","39,33","40,28","40,83","40,88","44,08","45,47","46,75","48,75","47,86","47,72","48,55","50,14","49,91","50,61","50,08","50,81","51,09","50,64","53,74"
